,Title,Country,Lat,Lng
0,A Horse Walks Into a Bar by David Grossman,israel,31.046051,34.851612
1,Becoming by Michelle Obama,usa,37.09024,-95.712891
2,Sex and Vanity by Kevin Kwan,usa,37.09024,-95.712891
3,Exit West by Mohsin Hamid,pakistan,30.375321,69.34511599999999
4,"Girl, Woman, Other by Bernadine Evaristo",england,52.3555177,-1.1743197
5,How To Be an Antiracist by Ibram X. Kendi,usa,37.09024,-95.712891
6,Noughts & Crosses (Noughts & Crosses #1) by Malorie Blackman,england,52.3555177,-1.1743197
7,Knife Edge (Noughts & Crosses #2) by Malorie Blackman,england,52.3555177,-1.1743197
8,Checkmate (Noughts & Crosses #3) by Malorie Blackman,england,52.3555177,-1.1743197
9,Double Cross (Noughts & Crosses #4) by Malorie Blackman,england,52.3555177,-1.1743197
10,Crossfire (Noughts & Crosses #5) by Malorie Blackman,england,52.3555177,-1.1743197
11,On Earth We're Briefly Gorgeous by Ocean Vuong,usa,37.09024,-95.712891
12,On Earth We're Briefly Gorgeous by Ocean Vuong,vietnam,14.058324,108.277199
13,Sharks in the Time of Saviours by Kawai Strong Washburn,usa,37.09024,-95.712891
14,The Coconut Children by Vivian Pham,australia,-25.274398,133.775136
15,The Ministry of Utmost Happiness by Arundhati Roy,india,20.593684,78.96288
16,The Memory Police by Yōko Ogawa,japan,36.204824,138.252924
17,The Whale Rider by Witi Ihimaera,new zealand,-40.900557,174.885971
18,They Called Us Enemy by George Takei,usa,37.09024,-95.712891
19,The Yield by Tara June Winch,australia,-25.274398,133.775136
20,Beloved by Toni Morrison,usa,37.09024,-95.712891
21,Song of Solomon by Toni Morrison,usa,37.09024,-95.712891
22,The Bluest Eye by Toni Morrison,usa,37.09024,-95.712891
23,Persepolis (Books 1 & 2; film-tie in) by Marjane Satrapi,iran,32.427908,53.688046
24,"There, There by Tommy Orange",usa,37.09024,-95.712891
25,Such a Fun Age by Kiley Reid,usa,37.09024,-95.712891
26,Delayed Rays of a Star by Amanda Lee Koe,usa,37.09024,-95.712891
27,The Brief Wondrous Life of Oscar Wao by Junot Díaz,usa,37.09024,-95.712891
28,The Brief Wondrous Life of Oscar Wao by Junot Díaz,dominican republic,18.735693,-70.162651
29,A Lonely Girl is a Dangerous Thing by Jessie Tu,australia,-25.274398,133.775136
30,Celestial Bodies by Jokha Alharthi,oman,21.4735329,55.975413
31,"My Sister, the Serial Killer by Oyinkan Braithwaite",nigeria,9.081999,8.675277
32,The Disaster Tourist by Yun Ko-Eun,south korea,35.907757,127.766922
33,The Bride Test (The Kiss Quotient #2) by Helen Hoang,usa,37.09024,-95.712891
34,The Bride Test (The Kiss Quotient #2) by Helen Hoang,vietnam,14.058324,108.277199
35,A Tale for the Time Being by Ruth Ozeki,usa,37.09024,-95.712891
36,A Tale for the Time Being by Ruth Ozeki,japan,36.204824,138.252924
37,Lucky Ticket by Joey Bui,australia,-25.274398,133.775136
38,Lucky Ticket by Joey Bui,vietnam,14.058324,108.277199
39,The Marriage Clock by Zara Raheem,usa,37.09024,-95.712891
40,Ayiti by Roxane Gay,usa,37.09024,-95.712891
41,Ayiti by Roxane Gay,haiti,18.971187,-72.285215
42,"Dominique Laveau, Voodoo Child Volume 1: Requiem by Selwyn Sefu Hinds, Denya Cowan, & John Floyd",usa,37.09024,-95.712891
43,Butcher + Beast by Angie Mar,usa,37.09024,-95.712891
44,Teaching My Mother How to Give Birth by Warsan Shire,england,52.3555177,-1.1743197
45,Teaching My Mother How to Give Birth by Warsan Shire,somalia,5.152149,46.199616
46,Asghar and Zahra by Sameer Rahim,england,52.3555177,-1.1743197
47,"Marilyn and Me by Ji-min Lee, translated by Chi Young Kim",south korea,35.907757,127.766922
48,One Night in Georgia by Celeste O. Norfleet,usa,37.09024,-95.712891
49,Hold by Michael Donkor,england,52.3555177,-1.1743197
50,Hold by Michael Donkor,ghana,7.946527,-1.023194
51,The Parking Lot Attendant by Nakfote Tamirat,usa,37.09024,-95.712891
52,The Parking Lot Attendant by Nakfote Tamirat,ethiopia,9.145000000000001,40.489673
53,"The Displaced: Refugee Writers on Refugee Lives, edited by Viet Thanh Nguyen",usa,37.09024,-95.712891
54,Newcomer by Keigo Higashino,japan,36.204824,138.252924
55,"Cult X by Fuminori Nakamura, translated by Kalau Almony",japan,36.204824,138.252924
56,"We, the Survivors by Tash Aw",malaysia,4.210484,101.975766
57,"Immigrant, Montana by Amitava Kumar",usa,37.09024,-95.712891
58,"Immigrant, Montana by Amitava Kumar",india,20.593684,78.96288
59,The One Who Wrote Destiny by Nikesh Shukla,england,52.3555177,-1.1743197
60,The One Who Wrote Destiny by Nikesh Shukla,kenya,-0.023559,37.906193
61,Leila by Prayaag Akbar,india,20.593684,78.96288
62,The Atheist Muslim by Ali A. Rizvi,pakistan,30.375321,69.34511599999999
63,The Atheist Muslim by Ali A. Rizvi,canada,56.130366,-106.346771
64,The Burning Land by George Alagiah,south africa,-30.559482,22.937506
65,Prize Fighter by Future D. Fidel,australia,-25.274398,133.775136
66,Prize Fighter by Future D. Fidel,democratic republic of congo,-4.038333,21.758664
67,The Freedom Artist by Ben Okri,nigeria,9.081999,8.675277
68,White Teeth by Zadie Smith,england,52.3555177,-1.1743197
69,Severance by Ling Ma,usa,37.09024,-95.712891
70,The Good Muslim by Tahmima Anam,bangladesh,23.684994,90.356331
71,Half Blood Blues by Esi Edugyan,usa,37.09024,-95.712891
72,Half Blood Blues by Esi Edugyan,france,46.227638,2.213749
73,Half Blood Blues by Esi Edugyan,canada,56.130366,-106.346771
74,Eva Luna by Isabel Allende,chile,-35.675147,-71.542969
75,No Presents Please by Jayant Kaikini,south asia,25.03764,76.4563087
76,The Farm by Joanne Ramos,usa,37.09024,-95.712891
77,The Farm by Joanne Ramos,philippines,12.879721,121.774017
78,Burnt Sugar by Avni Doshi,usa,37.09024,-95.712891
79,Burnt Sugar by Avni Doshi,india,20.593684,78.96288
80,Frying Plantain by Zalika Reid-Benta,jamaica,18.109581,-77.297508
81,Frying Plantain by Zalika Reid-Benta,canada,56.130366,-106.346771
82,If I Had Your Face by Frances Cha,south korea,35.907757,127.766922
83,Earthlings by Sayaka Murata,japan,36.204824,138.252924
84,An American Marriage by Tayari Jones,usa,37.09024,-95.712891
85,The Runaways by Fatima Bhutto,pakistan,30.375321,69.34511599999999
86,After Australia edited by Michael Mohammed Ahmad,australia,-25.274398,133.775136
87,A Question of Colour by Pattie Lees with Adam C Lees,australia,-25.274398,133.775136
88,A Little Life by Hanya Yanagihara,usa,37.09024,-95.712891
89,Gingerbread by Helen Oyeyemi,england,52.3555177,-1.1743197
90,"Get a Life, Chloe Brown (The Brown Sisters #1) by Talia Hibbert",england,52.3555177,-1.1743197
91,"Take a Hint, Dani Brown (The Brown Sisters #2) by Talia Hibbert",england,52.3555177,-1.1743197
92,Mexican Gothic by Silvia Moreno-Garcia,mexico,23.634501,-102.552784
93,Mexican Gothic by Silvia Moreno-Garcia,canada,56.130366,-106.346771
94,The Hate Race by Maxine Beneba Clarke,australia,-25.274398,133.775136
95,Queenie by Candice Carty-Williams,england,52.3555177,-1.1743197
96,Queenie by Candice Carty-Williams,jamaica,18.109581,-77.297508
97,Everything I Never Told You by Celeste Ng,usa,37.09024,-95.712891
98,Little Fires Everywhere by Celeste Ng,usa,37.09024,-95.712891
99,The Mothers by Brit Bennett,usa,37.09024,-95.712891
100,The Vanishing Half by Brit Bennett,usa,37.09024,-95.712891
101,The City We Became (Great Cities #1) by N. K. Jemisin,usa,37.09024,-95.712891
102,The Things She Owned by Katherine Tamiko Arguile,england,52.3555177,-1.1743197
103,The Things She Owned by Katherine Tamiko Arguile,japan,36.204824,138.252924
104,"Hey Mum, What's a Half-Caste? by Lorraine McGee-Sippel",australia,-25.274398,133.775136
105,Blakwork by Alison Whittaker,australia,-25.274398,133.775136
106,I am Malala by Malala Yousafzai,pakistan,30.375321,69.34511599999999
107,Rosewater (Wormwood #1) by Tade Thompson,nigeria,9.081999,8.675277
108,Rosewater (Wormwood #1) by Tade Thompson,england,52.3555177,-1.1743197
109,The Rosewater Insurrection (Wormwood #2) by Tade Thompson,nigeria,9.081999,8.675277
110,The Rosewater Insurrection (Wormwood #2) by Tade Thompson,england,52.3555177,-1.1743197
111,The Rosewater Redemption (Wormwood #3) by Tade Thompson,nigeria,9.081999,8.675277
112,The Rosewater Redemption (Wormwood #3) by Tade Thompson,england,52.3555177,-1.1743197
113,Born a Crime: Stories from a South African Childhood by Trevor Noah,south africa,-30.559482,22.937506
114,Children of Blood and Bone (Legacy of Orïsha #1) by Tomi Adeyemi,usa,37.09024,-95.712891
115,Children of Blood and Bone (Legacy of Orïsha #1) by Tomi Adeyemi,nigeria,9.081999,8.675277
116,Children of Virtue and Vengeance (Legacy of Orïsha #2) by Tomi Adeyemi,usa,37.09024,-95.712891
117,Children of Virtue and Vengeance (Legacy of Orïsha #2) by Tomi Adeyemi,nigeria,9.081999,8.675277
118,If They Come for Us: Poems by Fatimah Asghar,usa,37.09024,-95.712891
119,If They Come for Us: Poems by Fatimah Asghar,pakistan,30.375321,69.34511599999999
120,The Refugees by Viet Thanh Nguyen,usa,37.09024,-95.712891
121,The Refugees by Viet Thanh Nguyen,vietnam,14.058324,108.277199
122,Summer Bird Blue by Akemi Dawn Bowman,usa,37.09024,-95.712891
123,Warndu Mai: Good Food by Damien Coulthard & Rebecca Sullivan,australia,-25.274398,133.775136
124,Homegoing by Yaa Gyasi,usa,37.09024,-95.712891
125,Homegoing by Yaa Gyasi,ghana,7.946527,-1.023194
126,Washington Black by Esi Edugyan,canada,56.130366,-106.346771
127,"Guwayu, For All Times, edited by Jeanine Leane",australia,-25.274398,133.775136
128,Why I'm No Longer Talking to White People About Race by Reni Eddo-Lodge,england,52.3555177,-1.1743197
129,"Kim Jiyoung, Born 1982 by Cho Nam-Joon",south korea,35.907757,127.766922
130,Love in the Time of Cholera by Gabriel García Márquez,colombia,4.570868,-74.297333
131,The Kiss Quotient (The Kiss Quotient #1) by Helen Hoang,usa,37.09024,-95.712891
132,Transcendent Kingdom by Yaa Gyasi,usa,37.09024,-95.712891
133,Transcendent Kingdom by Yaa Gyasi,ghana,7.946527,-1.023194
134,On the Come Up by Angie Thomas,usa,37.09024,-95.712891
135,Americanah by Chimamanda Ngozi Adichie,usa,37.09024,-95.712891
136,Americanah by Chimamanda Ngozi Adichie,nigeria,9.081999,8.675277
137,Last Tang Standing by Lauren Ho,malaysia,4.210484,101.975766
138,Last Tang Standing by Lauren Ho,singapore,1.352083,103.819836
139,Death's End (Remembrance of Earth's Past #3) by Cixin Liu,china,35.86166,104.195397
140,The Dark Forest (Remembrance of Earth's Past #2) by Cixin Liu,china,35.86166,104.195397
141,The Three Body Problem (Remembrance of Earth's Past #1) by Cixin Liu,china,35.86166,104.195397
142,Erotic Stories for Punjabi Widows by Balli Kaur Jaswal,england,52.3555177,-1.1743197
143,The Unlikely Adventures of the Shergill Sisters by Balli Kaur Jaswal,england,52.3555177,-1.1743197
144,The Unlikely Adventures of the Shergill Sisters by Balli Kaur Jaswal,india,20.593684,78.96288
145,First They Killed my Father by Loung Ung,cambodia,12.565679,104.990963
146,The God of Small Things by Arundhati Roy,india,20.593684,78.96288
147,The Girl with Seven Names by Hyeonseo Lee,north korea,40.339852,127.510093
148,Half of a Yellow Sun by Chimamanda Ngozi Adichie,nigeria,9.081999,8.675277
149,Pachinko by Min Jin Lee,south korea,35.907757,127.766922
150,Pachinko by Min Jin Lee,japan,36.204824,138.252924
151,The Poppy War by R. F. Kuang (The Poppy War #1),usa,37.09024,-95.712891
152,The Poppy War by R. F. Kuang (The Poppy War #1),china,35.86166,104.195397
153,Trick Mirror by Jia Tolentino,usa,37.09024,-95.712891
154,Music of the Ghosts by Vaddey Ratner,usa,37.09024,-95.712891
155,Music of the Ghosts by Vaddey Ratner,cambodia,12.565679,104.990963
156,The Stationery Shop of Tehran by Marjan Kamali,usa,37.09024,-95.712891
157,The Stationery Shop of Tehran by Marjan Kamali,iran,32.427908,53.688046
158,Intimations by Zadie Smith,england,52.3555177,-1.1743197
159,A Very Large Expanse of Sea by Tahereh Mafi,usa,37.09024,-95.712891
160,A Burning by Megha Majumdar,india,20.593684,78.96288
161,The Hate U Give by Angie Thomas,usa,37.09024,-95.712891
162,Aristotle and Dante Discover the Secrets of the Universe by Benjamin Alire Sáenz,usa,37.09024,-95.712891
163,The Thing Around Your Neck by Chimamanda Ngozi Adichie,usa,37.09024,-95.712891
164,The Thing Around Your Neck by Chimamanda Ngozi Adichie,nigeria,9.081999,8.675277
165,Dark Emu by Bruce Pascoe,australia,-25.274398,133.775136
166,"Brother, I'm Dying by Edwidge Danticat",usa,37.09024,-95.712891
167,"Brother, I'm Dying by Edwidge Danticat",haiti,18.971187,-72.285215
168,White Tears/Brown Scars by Ruby Hamad,lebanon,33.854721,35.862285
169,White Tears/Brown Scars by Ruby Hamad,australia,-25.274398,133.775136
170,White Tears/Brown Scars by Ruby Hamad,syria,34.80207499999999,38.996815
171,What a Time to be Alone by Chidera Eggerue,nigeria,9.081999,8.675277
172,What a Time to be Alone by Chidera Eggerue,england,52.3555177,-1.1743197
173,The Old Drift by Namwali Serpell,usa,37.09024,-95.712891
174,The Old Drift by Namwali Serpell,zambia,-13.133897,27.849332
175,A Brief History of Seven Killings by Marlon James,usa,37.09024,-95.712891
176,A Brief History of Seven Killings by Marlon James,jamaica,18.109581,-77.297508
177,The Bone People by Keri Hulme,new zealand,-40.900557,174.885971
178,A Promised Land by Barack Obama,usa,37.09024,-95.712891
179,The Obama Bundle,usa,37.09024,-95.712891
180,How We Disappeared by Jing Jing Lee,singapore,1.352083,103.819836
181,Hood Feminism by Mikki Kendall,usa,37.09024,-95.712891
182,The Sympathizer by Viet Thanh Nguyen,usa,37.09024,-95.712891
183,The Sympathizer by Viet Thanh Nguyen,vietnam,14.058324,108.277199
184,The Sympathizer by Viet Thanh Nguyen,usa,37.09024,-95.712891
185,The Sympathizer by Viet Thanh Nguyen,vietnam,14.058324,108.277199
186,The Girl from Everywhere by Heidi Heilig,usa,37.09024,-95.712891
187,The Girl from Everywhere by Heidi Heilig,north american,54.5259614,-105.2551187
188,Out of the Ruins by Tina Tran,usa,37.09024,-95.712891
189,All the Letters I Should Have Sent by Rania Naim,egypt,26.820553,30.802498
190,All the Letters I Should Have Sent by Rania Naim,usa,37.09024,-95.712891
191,The Wild Book by Juan Villoro,mexico,23.634501,-102.552784
192,Nocturnes by Kazuo Ishiguro,england,52.3555177,-1.1743197
193,Show Me a Mountain by Kerry Young,china,35.86166,104.195397
194,Show Me a Mountain by Kerry Young,jamaica,18.109581,-77.297508
195,Show Me a Mountain by Kerry Young,england,52.3555177,-1.1743197
196,The Happiest Refugee by Anh Do,vietnam,14.058324,108.277199
197,The Happiest Refugee by Anh Do,australia,-25.274398,133.775136
198,One Hundred Years of Solitude by Gabriel García Marquez,colombia,4.570868,-74.297333
199,Warndu Mai: Good Food by Damien Coulthard & Rebecca Sullivan,australia,-25.274398,133.775136
200,Rosewater & Soda Bread by Marsha Mehran,ireland,53.1423672,-7.692053599999999
201,Rosewater & Soda Bread by Marsha Mehran,iran,32.427908,53.688046
202,Reading the Ceiling by Dayo Forster,gambia,13.443182,-15.310139
203,Tetsuya by Tetsuya Wakuda,australia,-25.274398,133.775136
204,Tetsuya by Tetsuya Wakuda,japan,36.204824,138.252924
205,Momofuku by David Chang and Peter Meehan,asia,34.047863,100.6196553
206,Momofuku by David Chang and Peter Meehan,usa,37.09024,-95.712891
207,Takashi's Noodles by Takashi Yagihashi with Harris Salat,usa,37.09024,-95.712891
208,Takashi's Noodles by Takashi Yagihashi with Harris Salat,japan,36.204824,138.252924
209,A Leaf in the Bitter Wind: a memoir by Ting-Xing Ye,china,35.86166,104.195397
210,A Leaf in the Bitter Wind: a memoir by Ting-Xing Ye,canada,56.130366,-106.346771
211,Juni Taisen: Zodiac War by NisiOisiN,japan,36.204824,138.252924
212,The Piano Teacher by Janice Y. K. Lee,hong kong,22.3193039,114.1693611
213,The Bridegroom by Ha Jin,china,35.86166,104.195397
214,The Bridegroom by Ha Jin,usa,37.09024,-95.712891
215,A Thousand Pieces of Gold by Adeline Yen Mah,china,35.86166,104.195397
216,A Thousand Pieces of Gold by Adeline Yen Mah,usa,37.09024,-95.712891
217,Crazy Rich Asians (Crazy Rich Asians #1) by Kevin Kwan,usa,37.09024,-95.712891
218,Crazy Rich Asians (Crazy Rich Asians #1) by Kevin Kwan,singapore,1.352083,103.819836
219,China Rich Girlfriend (Crazy Rich Asians #2) by Kevin Kwan,china,35.86166,104.195397
220,China Rich Girlfriend (Crazy Rich Asians #2) by Kevin Kwan,usa,37.09024,-95.712891
221,China Rich Girlfriend (Crazy Rich Asians #2) by Kevin Kwan,singapore,1.352083,103.819836
222,The Opposite of Fate by Amy Tan,china,35.86166,104.195397
223,The Opposite of Fate by Amy Tan,usa,37.09024,-95.712891
224,Exhalation by Ted Chiang,usa,37.09024,-95.712891
225,Alek: Sudanese Refugee to International Supermodel by Alek Wek,sudan,12.862807,30.217636
226,Nomad by Ayaan Hirsi Ali,netherlands,52.132633,5.291265999999999
227,Nomad by Ayaan Hirsi Ali,usa,37.09024,-95.712891
228,Nomad by Ayaan Hirsi Ali,somalia,5.152149,46.199616
229,We Need New Names by NoViolet Bulawayo,zimbabwe,-19.015438,29.154857
230,We Need New Names by NoViolet Bulawayo,usa,37.09024,-95.712891
231,The English Patient by Michael Ondaatje,canada,56.130366,-106.346771
232,99 Nights in Logar by Jamil Jan Kochai,usa,37.09024,-95.712891
233,99 Nights in Logar by Jamil Jan Kochai,afganistan,33.93911,67.709953
234,Raising My Voice by Malalai Joya,afganistan,33.93911,67.709953
235,The Wandering by Intan Paramaditha,indonesia,-0.789275,113.921327
236,The Bonesetter's Daughter by Amy Tan,china,35.86166,104.195397
237,The Bonesetter's Daughter by Amy Tan,usa,37.09024,-95.712891
238,Saving Fish from Drowning by Amy Tan,china,35.86166,104.195397
239,Saving Fish from Drowning by Amy Tan,usa,37.09024,-95.712891
240,Saving Fish from Drowning by Amy Tan,myanmar,21.916221,95.955974
241,The Kitchen God's Wife by Amy Tan,china,35.86166,104.195397
242,The Kitchen God's Wife by Amy Tan,usa,37.09024,-95.712891
243,The Sellout by Paul Beatty,usa,37.09024,-95.712891
244,The Namesake by Jhumpa Lahiri,india,20.593684,78.96288
245,The Namesake by Jhumpa Lahiri,usa,37.09024,-95.712891
246,Grimus by Salman Rushdie,india,20.593684,78.96288
247,Grimus by Salman Rushdie,england,52.3555177,-1.1743197
248,The Valley of Amazement by Amy Tan,china,35.86166,104.195397
249,The Valley of Amazement by Amy Tan,usa,37.09024,-95.712891
250,The Opposite of Fate by Amy Tan,usa,37.09024,-95.712891
251,Woven in Moonlight by Isabel Ibañez,bolivia,-16.290154,-63.58865299999999
252,The People in the Trees by Hanya Yanagihara,asia,34.047863,100.6196553
253,The People in the Trees by Hanya Yanagihara,micronesia,7.425554,150.550812
254,The People in the Trees by Hanya Yanagihara,usa,37.09024,-95.712891
255,"Growing up Asian in Australia, edited by Alice Pung",australia,-25.274398,133.775136
256,The Boat by Nam Lee ,vietnam,14.058324,108.277199
257,The Boat by Nam Lee ,australia,-25.274398,133.775136
258,"Everything, Everything by Nicola Yoon",usa,37.09024,-95.712891
259,On Beauty by Zadie Smith,england,52.3555177,-1.1743197
260,The White Tiger by Aravind Adiga,india,20.593684,78.96288
261,Sex and Vanity by Kevin Kwan,usa,37.09024,-95.712891
262,If I Had Your Face by Frances Cha,south korea,35.907757,127.766922
263,My China: A Feast for All the Senses by Kylie Kwong,china,35.86166,104.195397
264,My China: A Feast for All the Senses by Kylie Kwong,australia,-25.274398,133.775136
265,Lantern Cookery Classics: Kylie Kwong,china,35.86166,104.195397
266,Lantern Cookery Classics: Kylie Kwong,australia,-25.274398,133.775136
267,Dreams From my Father by Barack Obama,kenya,-0.023559,37.906193
268,Dreams From my Father by Barack Obama,usa,37.09024,-95.712891
269,On the Come Up by Angie Thomas,usa,37.09024,-95.712891
270,Persepolis (Books 1 & 2; film-tie in) by Marjane Satrapi,iran,32.427908,53.688046
271,Who Am I? by Anita Heiss,australia,-25.274398,133.775136
272,Queenie by Candice Carty-Williams,jamaica,18.109581,-77.297508
273,Queenie by Candice Carty-Williams,england,52.3555177,-1.1743197
274,The Sympathizer by Viet Thanh Nguyen,vietnam,14.058324,108.277199
275,The Sympathizer by Viet Thanh Nguyen,usa,37.09024,-95.712891
276,"Austenistan, edited by Laaleen Sukhera",pakistan,30.375321,69.34511599999999
